Time,TimeQuarter,Skill,Demand
2009.75,2009 Q4,Oil & Gas,61.27274287626947
2009.75,2009 Q4,Drilling Engineering,227.59201024377708
2009.75,2009 Q4,Utilities,108.93195157393428
2009.75,2009 Q4,Negotiation,544.4620628131435
2009.75,2009 Q4,Digital Literacy,780.1633702438777
2009.75,2009 Q4,Project Management,674.337544292606
2009.75,2009 Q4,Teamwork,453.1219105702327
2009.75,2009 Q4,Leadership,391.14460085673545
2009.75,2009 Q4,Business Management,322.78313250994194
2009.75,2009 Q4,Instrumentation,98.11472948944682
2009.75,2009 Q4,Pharmaceutics,61.27274287626947
2009.75,2009 Q4,Pharmaceutical Manufacturing,145.5889043796459
2009.75,2009 Q4,Research,400.4870398255126
2009.75,2009 Q4,Product Testing,9.396479452288109
2009.75,2009 Q4,Oncology,5.029573014681059
2009.75,2009 Q4,Organic Chemistry,10.727237117654711
2009.75,2009 Q4,Food Manufacturing,144.67621365337865
2009.75,2009 Q4,Food Service Operations,79.39998951899967
2009.75,2009 Q4,Cooking,1.454261535799275
2009.75,2009 Q4,Manufacturing Operations,154.8532104428705
2009.75,2009 Q4,Aerospace Engineering,253.17464569193672
2009.75,2009 Q4,Air Force,145.25981900973625
2009.75,2009 Q4,Airlines,83.34331805253652
2009.75,2009 Q4,Aircraft Management,47.81851382825065
2009.75,2009 Q4,Composites,27.43603588353905
2009.75,2009 Q4,Scientific Computing,83.55966102151952
2009.75,2009 Q4,Machining,378.1115542282959
2009.75,2009 Q4,Automotive,184.74106283641495
2009.75,2009 Q4,Customer Experience,5.49593412904714
2009.75,2009 Q4,Foreign Languages,30.095242849301144
2009.75,2009 Q4,Maintenance & Repair,121.1006515381666
2009.75,2009 Q4,Chemical Processing,133.35140740855476
2009.75,2009 Q4,Architecture,486.64134632795486
2009.75,2009 Q4,Forestry,32.72974839983801
2009.75,2009 Q4,Enterprise Software,3.064435415626505
2009.75,2009 Q4,Printing,72.07866453228529
2009.75,2009 Q4,Graphic Design,113.28657912502342
2009.75,2009 Q4,Retail Packaging,164.01221304364776
2009.75,2009 Q4,Arts & Crafts,3.064435415626505
2009.75,2009 Q4,Product Marketing,36.53696122532587
2009.75,2009 Q4,Electronics,29.471983967506574
2009.75,2009 Q4,Power Systems,166.88734834332936
2009.75,2009 Q4,Robotics,366.8968224908336
2009.75,2009 Q4,Plastics,107.75537957377566
2009.75,2009 Q4,Product Development,85.95315302944311
2009.75,2009 Q4,Environmental Science,1771.9188867377509
2009.75,2009 Q4,Electronic Control Systems,217.41018821190937
2009.75,2009 Q4,Computer Hardware,144.74846974276574
2009.75,2009 Q4,Technical Support,164.68964565139646
2009.75,2009 Q4,System Administration,276.9750379011299
2009.75,2009 Q4,Computer Networking,115.50092651919104
2009.75,2009 Q4,Development Tools,55.239913030710674
2009.75,2009 Q4,Web Development,69.22235722084397
2009.75,2009 Q4,Mobile Application Development,4.923308572741065
2009.75,2009 Q4,Data Storage Technologies,3.998677345132244
2009.75,2009 Q4,Data Science,160.8366606668159
2009.75,2009 Q4,Human Computer Interaction,27.60836232612401
2009.75,2009 Q4,Software Development Life Cycle (SDLC),4.923308572741065
2009.75,2009 Q4,Cybersecurity,30.87380336351993
2009.75,2009 Q4,Telecommunications,11.677755753174468
2009.75,2009 Q4,Digital Marketing,85.60733223283249
2009.75,2009 Q4,Social Media,272.9528382648422
2009.75,2009 Q4,Advertising,64.1994268462284
2009.75,2009 Q4,Materials Science,8.492887649025382
2009.75,2009 Q4,Software Testing,3.0452653505821203
2009.75,2009 Q4,Video,38.76631630691246
2009.75,2009 Q4,Photography,157.7214401368574
2009.75,2009 Q4,Editing,94.16272910309335
2009.75,2009 Q4,Television,25.556330792718693
2009.75,2009 Q4,Journalism,63.64415262735282
2009.75,2009 Q4,Writing,13.736652780969129
2009.75,2009 Q4,Animation,92.23974531845424
2009.75,2009 Q4,Commercial Banking,252.523734958178
2009.75,2009 Q4,Capital Markets,387.8863392713432
